"Notes"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	"Crude Rate"
	"< 1 year"	"1"	"1999"	"1999"	"Certain disorders involving the immune mechanism"	"D80-D89"	18	3795762	0.5 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Disorders of thyroid gland"	"E00-E07"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Diabetes mellitus"	"E10-E14"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Disorders of other endocrine glands"	"E20-E34"	33	3795762	0.9
	"< 1 year"	"1"	"1999"	"1999"	"Malnutrition"	"E40-E46"	7	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other nutritional deficiencies"	"E50-E64"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Metabolic disorders"	"E70-E88"	213	3795762	5.6
	"< 1 year"	"1"	"1999"	"1999"	"Organic, including symptomatic, mental disorders"	"F01-F09"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Mood [affective] disorders"	"F30-F39"	6	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Mental retardation"	"F70-F79"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence"	"F90-F98"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Inflammatory diseases of the central nervous system"	"G00-G09"	120	3795762	3.2
	"< 1 year"	"1"	"1999"	"1999"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	108	3795762	2.8
	"< 1 year"	"1"	"1999"	"1999"	"Extrapyramidal and movement disorders"	"G20-G25"	3	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other degenerative diseases of the nervous system"	"G30-G31"	16	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Episodic and paroxysmal disorders"	"G40-G47"	15	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of myoneural junction and muscle"	"G70-G72"	49	3795762	1.3
	"< 1 year"	"1"	"1999"	"1999"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	14	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other disorders of the nervous system"	"G90-G98"	114	3795762	3.0
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of middle ear and mastoid"	"H65-H74"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Chronic rheumatic heart diseases"	"I05-I09"	6	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Hypertensive diseases"	"I10-I15"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Ischaemic heart diseases"	"I20-I25"	27	3795762	0.7
	"< 1 year"	"1"	"1999"	"1999"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	218	3795762	5.7
	"< 1 year"	"1"	"1999"	"1999"	"Other forms of heart disease"	"I30-I51"	272	3795762	7.2
	"< 1 year"	"1"	"1999"	"1999"	"Cerebrovascular diseases"	"I60-I69"	103	3795762	2.7
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	14	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	21	3795762	0.6
	"< 1 year"	"1"	"1999"	"1999"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Acute upper respiratory infections"	"J00-J06"	10	3795762	0.3 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Influenza and pneumonia"	"J09-J18"	320	3795762	8.4
	"< 1 year"	"1"	"1999"	"1999"	"Other acute lower respiratory infections"	"J20-J22"	63	3795762	1.7
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of upper respiratory tract"	"J30-J39"	14	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Chronic lower respiratory diseases"	"J40-J47"	36	3795762	0.9
	"< 1 year"	"1"	"1999"	"1999"	"Lung diseases due to external agents"	"J60-J70"	16	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	69	3795762	1.8
	"< 1 year"	"1"	"1999"	"1999"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	5	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of pleura"	"J90-J94"	26	3795762	0.7
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of the respiratory system"	"J96-J98"	128	3795762	3.4
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	19	3795762	0.5 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of appendix"	"K35-K38"	3	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Hernia"	"K40-K46"	44	3795762	1.2
	"< 1 year"	"1"	"1999"	"1999"	"Noninfective enteritis and colitis"	"K50-K52"	34	3795762	0.9
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of intestines"	"K55-K63"	253	3795762	6.7
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of peritoneum"	"K65-K66"	20	3795762	0.5
	"< 1 year"	"1"	"1999"	"1999"	"Diseases of liver"	"K70-K76"	86	3795762	2.3
	"< 1 year"	"1"	"1999"	"1999"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	13	3795762	0.3 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of the digestive system"	"K90-K92"	26	3795762	0.7
	"< 1 year"	"1"	"1999"	"1999"	"Urticaria and erythema"	"L50-L53"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Arthropathies"	"M00-M25"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Systemic connective tissue disorders"	"M30-M35"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Soft tissue disorders"	"M60-M79"	3	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Osteopathies and chondropathies"	"M80-M94"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Glomerular diseases"	"N00-N07"	3	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Renal tubulo-interstitial diseases"	"N10-N15"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Renal failure"	"N17-N19"	163	3795762	4.3
	"< 1 year"	"1"	"1999"	"1999"	"Other disorders of kidney and ureter"	"N25-N28"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of urinary system"	"N30-N39"	3	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Noninflammatory disorders of female genital tract"	"N80-N98"	13	3795762	0.3 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	2738	3795762	72.1
	"< 1 year"	"1"	"1999"	"1999"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	4454	3795762	117.3
	"< 1 year"	"1"	"1999"	"1999"	"Birth trauma"	"P10-P15"	20	3795762	0.5
	"< 1 year"	"1"	"1999"	"1999"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	4495	3795762	118.4
	"< 1 year"	"1"	"1999"	"1999"	"Infections specific to the perinatal period"	"P35-P39"	871	3795762	22.9
	"< 1 year"	"1"	"1999"	"1999"	"Haemorrhagic and haematological disorders of newborn"	"P50-P61"	619	3795762	16.3
	"< 1 year"	"1"	"1999"	"1999"	"Transitory endocrine and metabolic disorders specific to newborn"	"P70-P74"	29	3795762	0.8
	"< 1 year"	"1"	"1999"	"1999"	"Digestive system disorders of newborn"	"P76-P78"	477	3795762	12.6
	"< 1 year"	"1"	"1999"	"1999"	"Conditions involving the integument and temperature regulation of newborn"	"P80-P83"	205	3795762	5.4
	"< 1 year"	"1"	"1999"	"1999"	"Other disorders originating in the perinatal period"	"P90-P96"	176	3795762	4.6
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations of the nervous system"	"Q00-Q07"	690	3795762	18.2
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations of eye, ear, face and neck"	"Q10-Q18"	3	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations of the circulatory system"	"Q20-Q28"	1818	3795762	47.9
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations of the respiratory system"	"Q30-Q34"	564	3795762	14.9
	"< 1 year"	"1"	"1999"	"1999"	"Cleft lip and cleft palate"	"Q35-Q37"	8	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other congenital malformations of the digestive system"	"Q38-Q45"	85	3795762	2.2
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations of genital organs"	"Q50-Q56"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations of the urinary system"	"Q60-Q64"	362	3795762	9.5
	"< 1 year"	"1"	"1999"	"1999"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	456	3795762	12.0
	"< 1 year"	"1"	"1999"	"1999"	"Other congenital malformations"	"Q80-Q89"	534	3795762	14.1
	"< 1 year"	"1"	"1999"	"1999"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	949	3795762	25.0
	"< 1 year"	"1"	"1999"	"1999"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	38	3795762	1.0
	"< 1 year"	"1"	"1999"	"1999"	"Symptoms and signs involving the skin and subcutaneous tissue"	"R20-R23"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"General symptoms and signs"	"R50-R68"	24	3795762	0.6
	"< 1 year"	"1"	"1999"	"1999"	"Abnormal findings on examination of blood, without diagnosis"	"R70-R79"	5	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Ill-defined and unknown causes of mortality"	"R95-R99"	3466	3795762	91.3
	"< 1 year"	"1"	"1999"	"1999"	"Transport accidents"	"V01-V99"	189	3795762	5.0
	"< 1 year"	"1"	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	656	3795762	17.3
	"< 1 year"	"1"	"1999"	"1999"	"Assault"	"X85-Y09"	331	3795762	8.7
	"< 1 year"	"1"	"1999"	"1999"	"Event of undetermined intent"	"Y10-Y34"	55	3795762	1.4
	"< 1 year"	"1"	"1999"	"1999"	"Complications of medical and surgical care"	"Y40-Y84"	54	3795762	1.4
	"< 1 year"	"1"	"2000"	"2000"	"Intestinal infectious diseases"	"A00-A09"	17	3805648	0.4 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Tuberculosis"	"A16-A19"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Certain zoonotic bacterial diseases"	"A20-A28"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other bacterial diseases"	"A30-A49"	328	3805648	8.6
	"< 1 year"	"1"	"2000"	"2000"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Viral infections of the central nervous system"	"A80-A89"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	26	3805648	0.7
	"< 1 year"	"1"	"2000"	"2000"	"Viral hepatitis"	"B15-B19"	6	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	10	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other viral diseases"	"B25-B34"	66	3805648	1.7
	"< 1 year"	"1"	"2000"	"2000"	"Mycoses"	"B35-B49"	48	3805648	1.3
	"< 1 year"	"1"	"2000"	"2000"	"Protozoal diseases"	"B50-B64"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Malignant neoplasms"	"C00-C97"	92	3805648	2.4
	"< 1 year"	"1"	"2000"	"2000"	"Benign neoplasms"	"D10-D36"	21	3805648	0.6
	"< 1 year"	"1"	"2000"	"2000"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	39	3805648	1.0
	"< 1 year"	"1"	"2000"	"2000"	"Haemolytic anaemias"	"D55-D59"	8	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Aplastic and other anaemias"	"D60-D64"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	23	3805648	0.6
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of blood and blood-forming organs"	"D70-D76"	18	3805648	0.5 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Certain disorders involving the immune mechanism"	"D80-D89"	19	3805648	0.5 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Disorders of thyroid gland"	"E00-E07"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Diabetes mellitus"	"E10-E14"	4	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Disorders of other endocrine glands"	"E20-E34"	36	3805648	0.9
	"< 1 year"	"1"	"2000"	"2000"	"Malnutrition"	"E40-E46"	11	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other nutritional deficiencies"	"E50-E64"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Obesity and other hyperalimentation"	"E65-E68"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Metabolic disorders"	"E70-E88"	200	3805648	5.3
	"< 1 year"	"1"	"2000"	"2000"	"Organic, including symptomatic, mental disorders"	"F01-F09"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Mood [affective] disorders"	"F30-F39"	8	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Mental retardation"	"F70-F79"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Inflammatory diseases of the central nervous system"	"G00-G09"	99	3805648	2.6
	"< 1 year"	"1"	"2000"	"2000"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	97	3805648	2.5
	"< 1 year"	"1"	"2000"	"2000"	"Extrapyramidal and movement disorders"	"G20-G25"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other degenerative diseases of the nervous system"	"G30-G31"	10	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Demyelinating diseases of the central nervous system"	"G35-G37"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Episodic and paroxysmal disorders"	"G40-G47"	13	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of myoneural junction and muscle"	"G70-G72"	44	3805648	1.2
	"< 1 year"	"1"	"2000"	"2000"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	10	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other disorders of the nervous system"	"G90-G98"	110	3805648	2.9
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of middle ear and mastoid"	"H65-H74"	6	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Chronic rheumatic heart diseases"	"I05-I09"	6	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Hypertensive diseases"	"I10-I15"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Ischaemic heart diseases"	"I20-I25"	30	3805648	0.8
	"< 1 year"	"1"	"2000"	"2000"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	185	3805648	4.9
	"< 1 year"	"1"	"2000"	"2000"	"Other forms of heart disease"	"I30-I51"	272	3805648	7.1
	"< 1 year"	"1"	"2000"	"2000"	"Cerebrovascular diseases"	"I60-I69"	124	3805648	3.3
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	18	3805648	0.5 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	24	3805648	0.6
	"< 1 year"	"1"	"2000"	"2000"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Acute upper respiratory infections"	"J00-J06"	6	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Influenza and pneumonia"	"J09-J18"	289	3805648	7.6
	"< 1 year"	"1"	"2000"	"2000"	"Other acute lower respiratory infections"	"J20-J22"	43	3805648	1.1
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of upper respiratory tract"	"J30-J39"	13	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Chronic lower respiratory diseases"	"J40-J47"	36	3805648	0.9
	"< 1 year"	"1"	"2000"	"2000"	"Lung diseases due to external agents"	"J60-J70"	10	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	91	3805648	2.4
	"< 1 year"	"1"	"2000"	"2000"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	8	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of pleura"	"J90-J94"	14	3805648	0.4 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of the respiratory system"	"J96-J98"	141	3805648	3.7
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	26	3805648	0.7
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of appendix"	"K35-K38"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Hernia"	"K40-K46"	46	3805648	1.2
	"< 1 year"	"1"	"2000"	"2000"	"Noninfective enteritis and colitis"	"K50-K52"	35	3805648	0.9
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of intestines"	"K55-K63"	261	3805648	6.9
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of peritoneum"	"K65-K66"	16	3805648	0.4 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of liver"	"K70-K76"	76	3805648	2.0
	"< 1 year"	"1"	"2000"	"2000"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	9	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of the digestive system"	"K90-K92"	24	3805648	0.6
	"< 1 year"	"1"	"2000"	"2000"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Arthropathies"	"M00-M25"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Systemic connective tissue disorders"	"M30-M35"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Dorsopathies"	"M40-M54"	4	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Soft tissue disorders"	"M60-M79"	3	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Osteopathies and chondropathies"	"M80-M94"	4	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Glomerular diseases"	"N00-N07"	8	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Renal tubulo-interstitial diseases"	"N10-N15"	12	3805648	0.3 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Renal failure"	"N17-N19"	152	3805648	4.0
	"< 1 year"	"1"	"2000"	"2000"	"Other disorders of kidney and ureter"	"N25-N28"	4	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other diseases of urinary system"	"N30-N39"	8	3805648	0.2 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Diseases of male genital organs"	"N40-N50"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	2	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Noninflammatory disorders of female genital tract"	"N80-N98"	4	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	2768	3805648	72.7
	"< 1 year"	"1"	"2000"	"2000"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	4471	3805648	117.5
	"< 1 year"	"1"	"2000"	"2000"	"Birth trauma"	"P10-P15"	31	3805648	0.8
	"< 1 year"	"1"	"2000"	"2000"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	4161	3805648	109.3
	"< 1 year"	"1"	"2000"	"2000"	"Infections specific to the perinatal period"	"P35-P39"	927	3805648	24.4
	"< 1 year"	"1"	"2000"	"2000"	"Haemorrhagic and haematological disorders of newborn"	"P50-P61"	704	3805648	18.5
	"< 1 year"	"1"	"2000"	"2000"	"Transitory endocrine and metabolic disorders specific to newborn"	"P70-P74"	23	3805648	0.6
	"< 1 year"	"1"	"2000"	"2000"	"Digestive system disorders of newborn"	"P76-P78"	454	3805648	11.9
	"< 1 year"	"1"	"2000"	"2000"	"Conditions involving the integument and temperature regulation of newborn"	"P80-P83"	170	3805648	4.5
	"< 1 year"	"1"	"2000"	"2000"	"Other disorders originating in the perinatal period"	"P90-P96"	209	3805648	5.5
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations of the nervous system"	"Q00-Q07"	758	3805648	19.9
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations of eye, ear, face and neck"	"Q10-Q18"	4	3805648	0.1 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations of the circulatory system"	"Q20-Q28"	1842	3805648	48.4
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations of the respiratory system"	"Q30-Q34"	685	3805648	18.0
	"< 1 year"	"1"	"2000"	"2000"	"Cleft lip and cleft palate"	"Q35-Q37"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Other congenital malformations of the digestive system"	"Q38-Q45"	84	3805648	2.2
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations of genital organs"	"Q50-Q56"	1	3805648	0.0 (Unreliable)
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations of the urinary system"	"Q60-Q64"	328	3805648	8.6
	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	425	3805648	11.2
